Temperature (K)	Pressure (psia)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
295.00	797.65	0.51775	1.9315	10.573	11.967	46.735	19.765	96.037	146.26	0.17169	29.498	0.010912	vapor
295.00	799.13	0.52008	1.9228	10.563	11.954	46.680	19.807	96.949	146.15	0.17136	29.539	0.010960	vapor
295.00	800.62	0.52243	1.9141	10.553	11.940	46.625	19.849	97.881	146.04	0.17102	29.581	0.011008	vapor
295.00	802.10	0.52481	1.9055	10.543	11.926	46.569	19.892	98.833	145.93	0.17068	29.624	0.011057	vapor
295.00	803.58	0.52721	1.8968	10.533	11.912	46.513	19.935	99.806	145.82	0.17033	29.667	0.011107	vapor
295.00	805.07	0.52962	1.8881	10.522	11.898	46.457	19.978	100.80	145.71	0.16998	29.711	0.011157	vapor
295.00	806.55	0.53207	1.8795	10.512	11.884	46.400	20.023	101.82	145.60	0.16963	29.755	0.011209	vapor
295.00	808.03	0.53453	1.8708	10.501	11.870	46.343	20.067	102.86	145.48	0.16928	29.800	0.011261	vapor
295.00	809.52	0.53702	1.8621	10.491	11.855	46.286	20.112	103.92	145.37	0.16892	29.845	0.011314	vapor
295.00	811.00	0.53953	1.8535	10.480	11.841	46.228	20.158	105.01	145.26	0.16856	29.891	0.011368	vapor
295.00	812.48	0.54207	1.8448	10.469	11.826	46.170	20.204	106.12	145.14	0.16819	29.938	0.011423	vapor
295.00	813.97	0.54463	1.8361	10.459	11.811	46.112	20.250	107.26	145.03	0.16782	29.985	0.011479	vapor
295.00	815.45	0.54722	1.8274	10.448	11.797	46.053	20.297	108.43	144.91	0.16745	30.033	0.011536	vapor
295.00	816.93	0.54984	1.8187	10.437	11.781	45.994	20.345	109.62	144.79	0.16707	30.082	0.011593	vapor
295.00	818.42	0.55248	1.8100	10.425	11.766	45.934	20.393	110.85	144.68	0.16669	30.131	0.011652	vapor
295.00	819.90	0.55515	1.8013	10.414	11.751	45.874	20.441	112.10	144.56	0.16631	30.181	0.011712	vapor
295.00	821.38	0.55785	1.7926	10.403	11.736	45.813	20.490	113.39	144.44	0.16592	30.231	0.011773	vapor
295.00	822.87	0.56057	1.7839	10.391	11.720	45.752	20.540	114.71	144.32	0.16552	30.282	0.011835	vapor
295.00	824.35	0.56333	1.7752	10.380	11.704	45.691	20.590	116.07	144.20	0.16513	30.334	0.011899	vapor
295.00	825.83	0.56612	1.7664	10.368	11.688	45.629	20.641	117.46	144.07	0.16473	30.387	0.011963	vapor
295.00	827.32	0.56894	1.7577	10.356	11.672	45.567	20.693	118.88	143.95	0.16432	30.441	0.012029	vapor
